state,year,map_industrial_cents_per_kwh,eia_industrial_cents_per_kwh,match
AL,2024,7.25,7.25,True
AK,2024,19.31,19.31,True
AZ,2024,7.9,7.9,True
AR,2024,6.61,6.61,True
CA,2024,21.53,21.53,True
CO,2024,8.62,8.62,True
CT,2024,17.12,17.12,True
DE,2024,8.49,8.49,True
FL,2024,8.5,8.5,True
GA,2024,7.21,7.21,True
HI,2024,34.13,34.13,True
ID,2024,7.69,7.69,True
IL,2024,8.83,8.83,True
IN,2024,8.15,8.15,True
IA,2024,6.8,6.8,True
KS,2024,7.73,7.73,True
KY,2024,6.5,6.5,True
LA,2024,5.61,5.61,True
ME,2024,12.46,12.46,True
MD,2024,10.01,10.01,True
MA,2024,18.19,18.19,True
MI,2024,8.26,8.26,True
MN,2024,9.15,9.15,True
MS,2024,6.81,6.81,True
MO,2024,7.87,7.87,True
MT,2024,7.59,7.59,True
NE,2024,7.66,7.66,True
NV,2024,8.64,8.64,True
NH,2024,16.21,16.21,True
NJ,2024,11.93,11.93,True
NM,2024,5.43,5.43,True
NY,2024,9.17,9.17,True
NC,2024,7.77,7.77,True
ND,2024,7.25,7.25,True
OH,2024,7.1,7.1,True
OK,2024,5.84,5.84,True
OR,2024,8.05,8.05,True
PA,2024,7.87,7.87,True
RI,2024,19.7,19.7,True
SC,2024,6.84,6.84,True
SD,2024,8.28,8.28,True
TN,2024,6.21,6.21,True
TX,2024,6.12,6.12,True
UT,2024,7.86,7.86,True
VT,2024,11.58,11.58,True
VA,2024,8.99,8.99,True
WA,2024,6.61,6.61,True
WV,2024,7.81,7.81,True
WI,2024,8.54,8.54,True
WY,2024,7.96,7.96,True
